SEQ,STAND_YMD,STAND_YM,STAND_YY
0,20230101,202301,2023
1,20230102,202301,2023
2,20230103,202301,2023
3,20230104,202301,2023
4,20230105,202301,2023
5,20230106,202301,2023
6,20230107,202301,2023
7,20230108,202301,2023
8,20230109,202301,2023
9,20230110,202301,2023
10,20230111,202301,2023
11,20230112,202301,2023
12,20230113,202301,2023
13,20230114,202301,2023
14,20230115,202301,2023
15,20230116,202301,2023
16,20230117,202301,2023
17,20230118,202301,2023
18,20230119,202301,2023
19,20230120,202301,2023
20,20230121,202301,2023
21,20230122,202301,2023
22,20230123,202301,2023
23,20230124,202301,2023
24,20230125,202301,2023
25,20230126,202301,2023
26,20230127,202301,2023
27,20230128,202301,2023
28,20230129,202301,2023
29,20230130,202301,2023
30,20230131,202301,2023
31,20230201,202302,2023
32,20230202,202302,2023
33,20230203,202302,2023
34,20230204,202302,2023
35,20230205,202302,2023
36,20230206,202302,2023
37,20230207,202302,2023
38,20230208,202302,2023
39,20230209,202302,2023
40,20230210,202302,2023
41,20230211,202302,2023
42,20230212,202302,2023
43,20230213,202302,2023
44,20230214,202302,2023
45,20230215,202302,2023
46,20230216,202302,2023
47,20230217,202302,2023
48,20230218,202302,2023
49,20230219,202302,2023
50,20230220,202302,2023
51,20230221,202302,2023
52,20230222,202302,2023
53,20230223,202302,2023
54,20230224,202302,2023
55,20230225,202302,2023
56,20230226,202302,2023
57,20230227,202302,2023
58,20230228,202302,2023
59,20230301,202303,2023
60,20230302,202303,2023
61,20230303,202303,2023
62,20230304,202303,2023
63,20230305,202303,2023
64,20230306,202303,2023
65,20230307,202303,2023
66,20230308,202303,2023
67,20230309,202303,2023
68,20230310,202303,2023
69,20230311,202303,2023
70,20230312,202303,2023
71,20230313,202303,2023
72,20230314,202303,2023
73,20230315,202303,2023
74,20230316,202303,2023
75,20230317,202303,2023
76,20230318,202303,2023
77,20230319,202303,2023
78,20230320,202303,2023
79,20230321,202303,2023
80,20230322,202303,2023
81,20230323,202303,2023
82,20230324,202303,2023
83,20230325,202303,2023
84,20230326,202303,2023
85,20230327,202303,2023
86,20230328,202303,2023
87,20230329,202303,2023
88,20230330,202303,2023
89,20230331,202303,2023
90,20230401,202304,2023
91,20230402,202304,2023
92,20230403,202304,2023
93,20230404,202304,2023
94,20230405,202304,2023
95,20230406,202304,2023
96,20230407,202304,2023
97,20230408,202304,2023
